"Comment","text_tokens","V3"
"Muchas gracias."," ","mucho gracia ."
"Buenas noches.  Gracias por compartir la calendarizacion de pago pensiones . Cada año van retrasandolo más. El año pasado era 21 de mes, ahora será hasta el 24 o 25 de mes...Como es posible <U+0001F622><U+0001F622>, uno ta está programado. Que terrible, van a llegar al 30 de mes <U+0001F644><U+0001F644>"," ","bueno noche . gracia por compartir el calendarizacion de pagar pensión . cada año ir retrasandolo más . el año pasar erar 21 de mes , ahora ser hasta el 24 o 25 de mes . . . comer ser posible <U+0001F622> <U+0001F622> , unir ta estar programar . que terrible , ir a llegar al 30 de mes <U+0001F644> <U+0001F644>"
"Muy amables"," ","muy amable"
"Gracias"," ","gracia"
"Enterada<U+0001F917>"," ","enterado <U+0001F917>"
"Gracias<U+0001F64C>"," ","gracia <U+0001F64C>"
"Gracias"," ","gracia"
"Enterada"," ","enterado"
"Gracias por mantenernos con información importante para la planificación de nuestros ingresos y gastos de vida."," ","gracia por mantenernos con información importante parar el planificación de nuestro ingreso y gasto de vida ."
"@nealva_ld"," ","@nealva_ld"
"Enterada... gracias por la información. Bendiciones!!! <U+0001F64F><U+0001F3FD>"," ","enterado . . . gracia por el información . bendición ! ! ! <U+0001F64F><U+0001F3FD>"
"Gracias por sus atenciones"," ","gracia por su atención"
"Gracias <U+0001F44D>"," ","gracia <U+0001F44D>"
"Gracias a confía por su información se les agradece mucho"," ","gracia a confiar por su información se les agradecer mucho"
"No me sale el calendario"," ","no me salar el calendario"
"Ayuda  yo queria que me Ayudarán con lo que medescontaron en este 2020 supuestamente ya creo ya use una cita el 1 de marzo espero que asesoría para poder que puedan ala cuenta del banco Cuscatlán"," ","ayudar yo queria que me ayudar con el que medescontaron en este 2020 supuestamente ya crear ya usar unir citar el 1 de marzo esperar que asesoría parar poder que poder ala contar del banco cuscatlán"
"Necesito un estado de cunta"," ","necesitar uno estar de cunta"
"@afp.confia me urje"," ","@afp . confia me urje"
"Ya lo nada"," ","ya el nadar"
"Ya lo hice y nada"," ","ya el hacer y nadar"
"Nunca contestan, siempre dice que están llenos los operadores, a todo esto mi madre sin recibir su pension"," ","nunca contestar , siempre decir que estar lleno el operador , a todo este mi madre sin recibir su pension"
"@crunchsanta y porque no lo hace por wassap? Yo ahí lo hice y no me tomó más que 10 minutos y sigo recibiendo mi pension"," ","@crunchsanta y porque no el hacer por wassap ? yo ahí el hacer y no me tomar más que 10 minuto y seguir recibir mi pension"
"Se le va todo el saldo al celular y nunca contestan"," ","se le ir todo el saldar al celular y nunca contestar"
"@delmyhernandez_, exacto. Son ladrones en todos los sentidos."," ","@delmyhernandez_ , exacto . ser ladrón en todo el sentido ."
"@delmyhernandez_ háganlo por wassap, ahí rápido contestan"," ","@delmyhernandez_ háganlo por wassap , ahí rápido contestar"
"Desde hace días eh solicitado mi estado y nunca me lo envían"," ","desde hacer día eh solicitar mi estar y nunca me el enviar"
"@afp.confia mi correo electrónico es oscarfidelperezhernandez80@gmail.com"," ","@afp . confia mi correar electrónico ser oscarfidelperezhernandez80 @gmail . com"
"Buenos días hay que tener paciencia para que contesten uno espera 20 minutos hasta entonces toman la llamada es más lo que uno espera que le contesten a que le llenen los datos b para la sobrevivencia pero como repito con paciencia? Que Dios los bendiga grandemente."," ","bueno día haber que tener paciencia parar que contestar unir esperar 20 minuto hasta entonces tomar el llamar ser más el que unir esperar que le contestar a que le llenar el dato b parar el sobrevivencia pero comer repetir con paciencia ? que dios el bendecir grandemente ."
"@carmenlopezmel pero es más rápido por wassap"," ","@carmenlopezmel pero ser más rápido por wassap"
"Mal servicio ya tengo mas de 8 días de haber solicitado una constancia de NO Pensionada para poder renovar mi carnet para pasar consulta es un documento indispensable. Ya 2 semanas de estar esperándolo me urge poder pasar consulta. Mal servicio <U+2639><U+FE0F><U+2639><U+FE0F>"," ","mal servicio ya tener mas de 8 día de haber solicitar unir constancia de no pensionado parar poder renovar mi carnet parar pasar consultar ser uno documentar indispensable . ya 2 semana de estar esperándolo me urgir poder pasar consultar . mal servicio <U+2639> <U+2639>"
"Se les escribe se llama se dejan mensajes y NUNCA DAN RESPUESTA"," ","se les escribir se llamar se dejar mensaje y nunca dar respuesta"
"Excelente!!"," ","excelente ! !"
"Pura paja no contestan los teléfonos"," ","puro paja no contestar el teléfono"
"Lo pasan con alguien y de ahí sale una grabadora de vos estan ocupados los asesores"," ","el pasar con alguien y de ahí salar unir grabador de tú estan ocupar el asesor"
"Cada cuanto hay que confirmar supervivencia?"," ","cada cuanto haber que confirmar supervivencia ?"
"No hay respuesta."," ","no haber respuesta ."
"Gracias fue super genial"," ","gracia ir super genial"
"Necesito el estado de cuenta"," ","necesitar el estar de contar"
"Buenas cuando van a pagar enero 2021"," ","bueno cuando ir a pagar enero 2021"
"Buenas tardes sres de  AFPconfia ya les envie msj x whatsapp y no me da respuestas  loq me dicen esq no me encuentran y yo me afilie el 18-02-2008 y tengo planillas de la empresa donde laboro y lo q quiero es retirar un 25% xq en estos momentos no es"," ","bueno tardar sres de afpconfia ya les envie msj x whatsapp y no me dar respuesta loq me decir esq no me encontrar y yo me afiliar el 18-02-2008 y tener planilla de el empresa donde laborar y el q querer ser retirar uno 25 % xq en este momento no ser"
