"X.U.FEFF.Comment","text_tokens","V3"
"Cuantos años de edad y cotizados para pedir anticipo."," ","cuanto año de edad y cotizar parar pedir anticipar ."
"Pregunto puedo pedir un anticipo aunque no tenga el tiempo que exije la afp"," ","preguntar poder pedir uno anticipar aunque no tener el tiempo que exije el afp"
"Disculpe en el caso de mí hijo,cumplió 18 años en noviembre,desde ese mes no a recibido pensión,y está estudiando en este año ara,empezará el bachillerato...quisiera me pudieran ayudar con la información porfavor....o q tengo q hacer para q se la den.."," ","disculpar en el casar de mí hijo , cumplir 18 año en noviembre , desde ese mes no a recibir pensión , y estar estudiar en este año arar , empezar el bachillerato . . . querer me poder ayudar con el información porfavor . . . . o q tener q hacer parar q se el dar . ."
"Gracias por la información,veré si se puede con esa opción q me brindo..."," ","gracia por el información , ver si se poder con ese opción q me brindar . . ."
"AFP CONFIA Hola buenas como puedo hacer un prestamo"," ","afp confia hola bueno comer poder hacer uno prestamo"
"Buenos dias me pueden decir si una persona q saco anticipo puede jubilarse y no devolver el anticipo?"," ","bueno dias me poder decir si unir personar q sacar anticipar poder jubilarse y no devolver el anticipar ?"
" Yo mety documentación nose cuando merresponderan"," ","yo mety documentación nose cuando merresponderan"
"Muy buenos días cómo puedo solicitar un estado laboral"," ","muy bueno día cómo poder solicitar uno estar laboral"
"Quiero saber si ya depositaron la pensión de enero"," ","querer saber si ya depositar el pensión de enero"
"Cómo poder saber el estado de cuenta de mi AFP"," ","cómo poder saber el estar de contar de mi afp"
"Como obtener una sita para antisipo de ahorros"," ","comer obtener unir sito parar antisipo de ahorro"
"Como puedo para anticipo"," ","comer poder parar anticipar"
"Soy pensionada y necesito una resolución y una constancia para presentarla en banco. Como puedo hacerlo ??"," ","ser pensionado y necesitar unir resolución y unir constancia parar presentarla en banco . comer poder hacerlo ? ?"
"Hola buenas tardes quisiera consultar sobre el 25% de saldo que están dando yo en abril cumplo 50 años no sé si aplicó en abril en delante o puedo llenar solicitudes ya"," ","hola bueno tardar querer consultar sobrar el 25 % de saldar que estar dar yo en abril cumplir 50 año no saber si aplicar en abril en delante o poder llenar solicitud ya"
"Ok"," ","ok"
"Porq se llena el formulario del anticipo y no se puede enviar??? Gracias espero su respuesta"," ","porq se llenar el formulario del anticipar y no se poder enviar ? ? ? gracia esperar su respuesta"
"AFP CONFIA "," ","afp confia"
"Buenos días yo quisiera saber  mí estado de cuenta"," ","bueno día yo querer saber mí estar de contar"
"Quisiera solicitar mi estado de cuenta"," ","querer solicitar mi estar de contar"
"Buenas necesito tramitar mi antisipo de ahorro este año cumplo 50 como puedo haser"," ","bueno necesitar tramitar mi antisipo de ahorrar este año cumplir 50 comer poder haser"
